epoch,train/loss,train/acc,metrics/mAP50(B),metrics/mAP50-95(B)
0,1.7691,0.266,0.2261,0.15827
1,1.7373,0.2742,0.23307,0.163149
2,1.7269,0.268,0.2278,0.15946
3,1.7181,0.2701,0.229585,0.1607095
4,1.7008,0.2701,0.229585,0.1607095
5,1.6966,0.2701,0.229585,0.1607095
6,1.6821,0.2742,0.23307,0.163149
7,1.6729,0.2701,0.229585,0.1607095
8,1.6662,0.266,0.2261,0.15827
9,1.6503,0.2722,0.23137,0.161959
10,1.6479,0.2887,0.245395,0.1717765
11,1.6339,0.2784,0.23664,0.165648
12,1.6298,0.2845,0.24182499999999998,0.16927749999999997
13,1.6205,0.2887,0.245395,0.1717765
14,1.6031,0.3072,0.26111999999999996,0.18278399999999997
15,1.603,0.3402,0.28917,0.202419
16,1.6001,0.334,0.2839,0.19873
17,1.5942,0.3732,0.31721999999999995,0.22205399999999995
18,1.5818,0.3299,0.280415,0.1962905
19,1.5794,0.3588,0.30498,0.21348599999999998
20,1.5638,0.3835,0.325975,0.22818249999999998
21,1.5668,0.3402,0.28917,0.202419
22,1.571,0.3732,0.31721999999999995,0.22205399999999995
23,1.5457,0.3959,0.33651499999999995,0.23556049999999995
24,1.5385,0.4062,0.34527,0.241689
25,1.5315,0.4247,0.360995,0.2526965
26,1.5372,0.4082,0.34697,0.24287899999999998
27,1.5256,0.4289,0.364565,0.25519549999999996
28,1.5073,0.4412,0.37501999999999996,0.26251399999999997
29,1.5112,0.4268,0.36278,0.253946
