epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.0400,0.18213,0.25049,0.0,-1,0.58198,0.32891,0.19756,0.17663,0.16411,0.0,0.005000,0,0
2,0.0369,0.10998,0.12660,0.0,-1,0.68901,0.50650,0.36329,0.08593,0.13083,0.0,0.005000,0,0
3,0.0370,0.06795,0.09225,0.0,-1,0.71094,0.64294,0.49869,0.07261,0.12758,0.0,0.005000,0,0
4,0.0383,0.05637,0.06707,0.0,-1,0.71234,0.67155,0.51245,0.06854,0.12287,0.0,0.005000,0,0
5,0.0384,0.05082,0.04961,0.0,-1,0.69691,0.68101,0.50924,0.06661,0.13522,0.0,0.005000,0,0
6,0.0386,0.04607,0.03746,0.0,-1,0.70533,0.69542,0.53917,0.06687,0.13343,0.0,0.005000,0,0
7,0.0381,0.04103,0.02859,0.0,-1,0.68617,0.68798,0.53388,0.06408,0.14514,0.0,0.005000,0,0
8,0.0380,0.04045,0.02355,0.0,-1,0.68333,0.69558,0.53753,0.06322,0.15057,0.0,0.005000,0,0
9,0.0383,0.03691,0.02008,0.0,-1,0.67940,0.70098,0.55135,0.06319,0.16112,0.0,0.005000,0,0
10,0.0390,0.03419,0.01733,0.0,-1,0.67722,0.70655,0.55810,0.06349,0.16527,0.0,0.005000,0,0
11,0.0385,0.03041,0.01563,0.0,-1,0.69137,0.69563,0.55695,0.06185,0.17097,0.0,0.005000,0,0
12,0.0388,0.03041,0.01540,0.0,-1,0.68525,0.70573,0.55422,0.06070,0.17841,0.0,0.005000,0,0
13,0.0385,0.02897,0.01408,0.0,-1,0.68398,0.69134,0.55290,0.06107,0.16888,0.0,0.005000,0,0
14,0.0384,0.02547,0.01289,0.0,-1,0.67766,0.69740,0.56878,0.06056,0.19022,0.0,0.005000,0,0
15,0.0383,0.02366,0.01266,0.0,-1,0.67069,0.68467,0.55439,0.06099,0.19093,0.0,0.005000,0,0
16,0.0384,0.02258,0.01098,0.0,-1,0.66018,0.69711,0.55975,0.06308,0.18991,0.0,0.005000,0,0
17,0.0382,0.02275,0.01119,0.0,-1,0.68873,0.70294,0.57208,0.05978,0.19822,0.0,0.005000,0,0
18,0.0382,0.02290,0.01040,0.0,-1,0.67588,0.70148,0.55997,0.06144,0.19841,0.0,0.005000,0,0
19,0.0381,0.01998,0.01064,0.0,-1,0.67837,0.69384,0.56475,0.05839,0.19499,0.0,0.005000,0,0
20,0.0382,0.01969,0.00977,0.0,-1,0.65932,0.68991,0.55432,0.05805,0.19795,0.0,0.005000,0,0
21,0.0384,0.01834,0.00949,0.0,-1,0.68305,0.70941,0.57770,0.05634,0.19814,0.0,0.005000,0,0
22,0.0382,0.01777,0.00908,0.0,-1,0.68160,0.69647,0.57115,0.05759,0.20480,0.0,0.005000,0,0
23,0.0382,0.01712,0.00902,0.0,-1,0.69979,0.71445,0.58064,0.05816,0.19603,0.0,0.005000,0,0
24,0.0383,0.01672,0.00881,0.0,-1,0.68806,0.69992,0.56602,0.05895,0.21139,0.0,0.005000,0,0
25,0.0388,0.01592,0.00836,0.0,-1,0.68066,0.70959,0.57513,0.05899,0.21540,0.0,0.000500,0,0
26,0.0393,0.01283,0.00790,0.0,-1,0.68315,0.70622,0.58248,0.05613,0.21592,0.0,0.000500,0,0
27,0.0387,0.01120,0.00752,0.0,-1,0.69421,0.71384,0.58767,0.05589,0.21611,0.0,0.000500,0,0
28,0.0387,0.01078,0.00744,0.0,-1,0.68855,0.70849,0.58689,0.05687,0.21544,0.0,0.000500,0,0
29,0.0391,0.01016,0.00730,0.0,-1,0.68769,0.71000,0.58525,0.05629,0.21782,0.0,0.000500,0,0
30,0.0386,0.01031,0.00723,0.0,-1,0.69256,0.70710,0.59080,0.05636,0.21545,0.0,0.000500,0,0
31,0.0386,0.00993,0.00711,0.0,-1,0.69180,0.71144,0.59107,0.05624,0.21584,0.0,0.000500,0,0
32,0.0383,0.00972,0.00720,0.0,-1,0.69346,0.70917,0.58934,0.05617,0.21731,0.0,0.000500,0,0
33,0.0384,0.00971,0.00723,0.0,-1,0.69304,0.70939,0.58708,0.05604,0.21360,0.0,0.000500,0,0
