
epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.621,0.93214,3.37248,1.12224,0.30301,0.35839,0.27843,0.2029,1.00762,4.34222,1.1079,0.0005001,0.0005001,0.0005001
2,717.008,1.01823,1.73323,1.1281,0.74197,0.16779,0.25063,0.17208,1.23575,3.05512,1.34262,0.0010068,0.0010068,0.0010068
3,1068.4,1.07926,1.51355,1.1857,0.50059,0.06376,0.00028,0.0001,3.66046,9104.44,83.5956,0.00150327,0.00150327,0.00150327
4,1428.01,1.15585,1.51032,1.22693,0.0152,0.23477,0.01388,0.00935,2.22496,46.5647,2.22289,0.00161749,0.00161749,0.00161749
5,1780.05,1.11399,1.30954,1.19317,0.23734,0.15772,0.15834,0.10593,1.47176,4.80411,1.77848,0.00160099,0.00160099,0.00160099
6,2125.11,1.07003,1.31774,1.18368,0.34505,0.31517,0.29172,0.20522,1.18335,2.70449,1.36631,0.00158448,0.00158448,0.00158448
7,2465.9,1.07635,1.26352,1.17399,0.33378,0.40201,0.31176,0.20245,1.2094,3.05076,1.35069,0.00156798,0.00156798,0.00156798
8,2810.26,1.0254,1.20143,1.13209,0.86236,0.23826,0.27852,0.20218,1.07418,1.83666,1.22839,0.00155148,0.00155148,0.00155148
9,3159.47,1.01922,1.22002,1.13249,0.58754,0.36872,0.28783,0.21333,1.08314,3.29769,1.21368,0.00153497,0.00153497,0.00153497
10,3523.25,1.03657,1.14213,1.15023,0.67276,0.32174,0.3659,0.28249,1.04703,1.79944,1.20019,0.00151847,0.00151847,0.00151847
11,3884.76,0.97841,1.05509,1.09646,0.36533,0.34502,0.27829,0.19937,1.11542,1.99236,1.23974,0.00150197,0.00150197,0.00150197
12,4247.39,0.951,1.13003,1.115,0.40872,0.52255,0.41981,0.30626,1.0659,1.74068,1.21478,0.00148546,0.00148546,0.00148546
13,4604.8,0.96851,1.07139,1.09609,0.48924,0.55866,0.48271,0.35621,0.98992,1.25895,1.19475,0.00146896,0.00146896,0.00146896
14,4950.12,0.90495,0.99003,1.06476,0.78551,0.32523,0.45968,0.36323,0.91635,1.36286,1.14524,0.00145246,0.00145246,0.00145246
15,5294.3,0.94065,1.03324,1.11256,0.65356,0.46899,0.50861,0.38863,0.99631,1.32216,1.18538,0.00143595,0.00143595,0.00143595
16,5632.63,0.90222,0.98991,1.07024,0.53457,0.56537,0.49169,0.3608,0.99899,1.40193,1.20924,0.00141945,0.00141945,0.00141945
17,5971.78,0.9038,0.93415,1.05524,0.50923,0.73248,0.60577,0.45076,0.90844,1.104,1.15337,0.00140295,0.00140295,0.00140295
18,6309.07,0.94837,0.91659,1.10471,0.6491,0.52217,0.52008,0.38944,0.99429,1.22617,1.15168,0.00138644,0.00138644,0.00138644
19,6645.13,0.87338,0.95555,1.04873,0.70622,0.39476,0.4444,0.34685,0.97379,1.47948,1.15176,0.00136994,0.00136994,0.00136994
20,6981.81,0.88682,0.94536,1.05946,0.57343,0.56228,0.57116,0.42602,0.89983,1.11977,1.13771,0.00135344,0.00135344,0.00135344
21,7320.31,0.87925,0.94014,1.06869,0.5498,0.63479,0.5539,0.41783,0.92517,1.06527,1.15545,0.00133693,0.00133693,0.00133693
22,7655.31,0.85614,0.87003,1.04239,0.5996,0.58283,0.6049,0.46551,0.89057,1.00652,1.11841,0.00132043,0.00132043,0.00132043
23,7998.29,0.81876,0.83899,1.02935,0.58416,0.64215,0.54801,0.40244,0.94322,1.12341,1.16515,0.00130393,0.00130393,0.00130393
24,8332.88,0.87064,0.88545,1.05202,0.61183,0.5655,0.54079,0.41164,0.90096,1.10667,1.14136,0.00128742,0.00128742,0.00128742
25,8668.12,0.81738,0.81217,1.03659,0.48301,0.56105,0.50117,0.40171,0.85734,1.17251,1.09922,0.00127092,0.00127092,0.00127092
26,9001.88,0.83745,0.80797,1.05849,0.62854,0.59248,0.55108,0.42019,0.9321,1.05036,1.13114,0.00125442,0.00125442,0.00125442
27,9336.57,0.83677,0.82084,1.03547,0.76601,0.57013,0.6412,0.50081,0.8798,0.95321,1.15455,0.00123791,0.00123791,0.00123791
28,9668.44,0.84516,0.80465,1.05393,0.70578,0.56537,0.59274,0.45238,0.91389,0.97153,1.13408,0.00122141,0.00122141,0.00122141
29,9999.09,0.78236,0.77037,1.01544,0.60688,0.65584,0.60588,0.46529,0.8923,0.97065,1.12941,0.00120491,0.00120491,0.00120491
30,10332.6,0.82639,0.79952,1.04312,0.73684,0.59235,0.67408,0.52595,0.88765,0.95849,1.09484,0.0011884,0.0011884,0.0011884
31,10663,0.83305,0.78543,1.03745,0.70798,0.56711,0.61199,0.46616,0.88862,1.07933,1.10991,0.0011719,0.0011719,0.0011719
32,10995.7,0.78102,0.7509,1.01159,0.56453,0.51333,0.55299,0.41906,0.85387,1.022,1.08721,0.0011554,0.0011554,0.0011554
33,11328.6,0.78772,0.72442,1.01612,0.63426,0.62228,0.61671,0.4815,0.8594,1.01186,1.10772,0.00113889,0.00113889,0.00113889
34,11659.3,0.79776,0.73884,1.02952,0.7896,0.56228,0.61865,0.47749,0.83513,0.92811,1.09788,0.00112239,0.00112239,0.00112239
35,11989.3,0.75749,0.70283,0.99534,0.72279,0.66254,0.67986,0.52529,0.85309,0.89274,1.09439,0.00110589,0.00110589,0.00110589
36,12310.7,0.77008,0.73116,1.00135,0.69141,0.59544,0.67262,0.51666,0.8134,0.90043,1.10126,0.00108938,0.00108938,0.00108938
37,12634.6,0.78193,0.68378,1.01724,0.64447,0.57584,0.62891,0.46753,0.87017,1.04564,1.11759,0.00107288,0.00107288,0.00107288
38,12958,0.76298,0.66413,1.00282,0.6991,0.61147,0.65129,0.50568,0.86054,0.9229,1.09918,0.00105638,0.00105638,0.00105638
39,13280.1,0.77252,0.67715,1.01667,0.68771,0.63643,0.63124,0.49073,0.8527,0.91293,1.12986,0.00103987,0.00103987,0.00103987
40,13601.2,0.77133,0.69614,1.02097,0.67737,0.71631,0.71075,0.54383,0.85289,0.88617,1.09207,0.00102337,0.00102337,0.00102337
41,13928.5,0.76306,0.68707,1.01672,0.66071,0.51906,0.5491,0.42028,0.82873,1.05527,1.07301,0.00100687,0.00100687,0.00100687
42,14251.2,0.74681,0.67784,0.99703,0.78858,0.65628,0.72893,0.56366,0.80401,0.79395,1.04787,0.000990365,0.000990365,0.000990365
43,14573.8,0.72906,0.6683,0.98403,0.76864,0.6255,0.68403,0.53464,0.82619,0.82839,1.08565,0.000973861,0.000973861,0.000973861
44,14895.1,0.73259,0.63687,0.9862,0.71174,0.65248,0.69775,0.54113,0.82616,0.83776,1.08822,0.000957358,0.000957358,0.000957358
45,15216,0.71995,0.61782,0.99535,0.70507,0.71248,0.66839,0.51673,0.82109,0.82878,1.09471,0.000940855,0.000940855,0.000940855
46,15538.2,0.68958,0.60972,0.96826,0.6838,0.721,0.65915,0.50639,0.8111,0.86004,1.08251,0.000924352,0.000924352,0.000924352
47,15859.7,0.70207,0.60449,0.98176,0.77489,0.66872,0.70065,0.5348,0.81744,0.80896,1.08109,0.000907848,0.000907848,0.000907848
48,16182.2,0.68612,0.59513,0.97544,0.69847,0.68926,0.70074,0.5341,0.85357,0.78788,1.0867,0.000891345,0.000891345,0.000891345
49,16501.9,0.75645,0.61338,1.01557,0.75292,0.69402,0.69645,0.54046,0.79693,0.85608,1.08332,0.000874842,0.000874842,0.000874842
50,16822.9,0.69802,0.60443,0.9765,0.6831,0.67256,0.70256,0.5464,0.81446,0.88507,1.09422,0.000858338,0.000858338,0.000858338
51,17140.7,0.69336,0.6024,0.96522,0.68746,0.62462,0.65118,0.504,0.82627,0.86596,1.07952,0.000841835,0.000841835,0.000841835
52,17463.1,0.71638,0.59728,0.98376,0.65565,0.64381,0.65159,0.50718,0.82631,0.86923,1.0952,0.000825332,0.000825332,0.000825332
53,17785.7,0.72184,0.59992,0.98597,0.67378,0.61919,0.6305,0.48405,0.79657,0.84667,1.10878,0.000808828,0.000808828,0.000808828
54,18106.9,0.71562,0.60274,0.98306,0.75265,0.6849,0.7327,0.56079,0.80123,0.76015,1.0916,0.000792325,0.000792325,0.000792325
55,18427.2,0.68926,0.56707,0.96905,0.70288,0.72488,0.71531,0.55348,0.78917,0.75338,1.0506,0.000775822,0.000775822,0.000775822
56,18749.7,0.68599,0.56272,0.96873,0.84133,0.71584,0.7465,0.58303,0.80332,0.75232,1.09545,0.000759318,0.000759318,0.000759318
57,19072.4,0.6476,0.52926,0.94021,0.88674,0.67221,0.75085,0.58934,0.79327,0.74865,1.07114,0.000742815,0.000742815,0.000742815
58,19398,0.68,0.56626,0.96254,0.80032,0.63893,0.6972,0.55431,0.79953,0.77559,1.07901,0.000726312,0.000726312,0.000726312
59,19721.8,0.6536,0.53598,0.94735,0.76182,0.65695,0.74298,0.58018,0.79333,0.7367,1.06481,0.000709809,0.000709809,0.000709809
60,20047,0.65489,0.53295,0.9653,0.75827,0.63919,0.71405,0.54601,0.78409,0.80816,1.06726,0.000693305,0.000693305,0.000693305
61,20370.7,0.65157,0.52015,0.96118,0.7867,0.68255,0.71498,0.56239,0.77926,0.79401,1.06666,0.000676802,0.000676802,0.000676802
62,20699,0.64988,0.53356,0.95523,0.78565,0.67584,0.69582,0.54832,0.79877,0.78873,1.07738,0.000660299,0.000660299,0.000660299
63,21023.7,0.63536,0.51993,0.94558,0.77651,0.62913,0.7029,0.56095,0.74111,0.80907,1.03426,0.000643795,0.000643795,0.000643795
64,21354.5,0.65371,0.54577,0.9588,0.80812,0.67865,0.74338,0.58081,0.79117,0.75555,1.08921,0.000627292,0.000627292,0.000627292
65,21682.1,0.63377,0.50063,0.95496,0.81334,0.69654,0.75519,0.59032,0.7731,0.71962,1.06655,0.000610789,0.000610789,0.000610789
66,22004.7,0.62867,0.50341,0.94704,0.8087,0.66565,0.72095,0.56767,0.80374,0.74154,1.08537,0.000594286,0.000594286,0.000594286
67,22327.9,0.62945,0.48522,0.93862,0.8272,0.59906,0.7116,0.57128,0.75754,0.73434,1.05883,0.000577782,0.000577782,0.000577782
68,22651.2,0.6208,0.47909,0.95116,0.76948,0.66926,0.73949,0.57235,0.78041,0.73496,1.07872,0.000561279,0.000561279,0.000561279
69,22980.1,0.62772,0.50421,0.95105,0.82146,0.56913,0.70937,0.55936,0.77834,0.77933,1.07794,0.000544776,0.000544776,0.000544776
70,23304.7,0.6309,0.48234,0.94722,0.79143,0.66242,0.71537,0.56381,0.75062,0.73918,1.0648,0.000528272,0.000528272,0.000528272
