epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.0979,0.16318,0.70728,0.0,-1,0.64065,0.15934,0.13031,0.14660,0.53019,0.0,0.000100,0,0
2,0.0969,0.13268,0.50678,0.0,-1,0.66120,0.31574,0.24869,0.14833,0.43599,0.0,0.000100,0,0
3,0.1055,0.12215,0.42458,0.0,-1,0.66321,0.38503,0.30795,0.14364,0.45795,0.0,0.000100,0,0
4,0.0958,0.11801,0.34639,0.0,-1,0.69602,0.50204,0.40332,0.14542,0.36321,0.0,0.000100,0,0
5,0.0999,0.11360,0.30134,0.0,-1,0.67506,0.56929,0.43175,0.14191,0.33736,0.0,0.000100,0,0
6,0.0928,0.10399,0.26292,0.0,-1,0.67015,0.55664,0.43854,0.14205,0.34469,0.0,0.000100,0,0
7,0.0934,0.10433,0.23271,0.0,-1,0.69827,0.60160,0.47067,0.14365,0.34241,0.0,0.000100,0,0
8,0.0930,0.10319,0.19425,0.0,-1,0.65040,0.61207,0.49808,0.13802,0.36208,0.0,0.000100,0,0
9,0.0923,0.09850,0.17265,0.0,-1,0.68170,0.64452,0.51355,0.14354,0.32533,0.0,0.000100,0,0
10,0.0916,0.09339,0.13655,0.0,-1,0.65377,0.59076,0.47710,0.13888,0.40340,0.0,0.000100,0,0
11,0.0963,0.09418,0.11595,0.0,-1,0.71036,0.63060,0.50976,0.13703,0.36900,0.0,0.000100,0,0
12,0.0916,0.09252,0.10569,0.0,-1,0.66927,0.60707,0.50111,0.13976,0.42706,0.0,0.000100,0,0
13,0.0928,0.08759,0.10242,0.0,-1,0.68816,0.61962,0.50160,0.13641,0.49743,0.0,0.000100,0,0
14,0.0926,0.08793,0.08654,0.0,-1,0.64578,0.63714,0.50599,0.13857,0.37106,0.0,0.000100,0,0
15,0.0915,0.08775,0.07536,0.0,-1,0.65721,0.64841,0.51384,0.13665,0.41663,0.0,0.000100,0,0
16,0.0917,0.08065,0.06754,0.0,-1,0.64244,0.62389,0.50768,0.13861,0.39197,0.0,0.000100,0,0
17,0.0922,0.07926,0.06791,0.0,-1,0.64911,0.63682,0.51253,0.13717,0.48332,0.0,0.000100,0,0
18,0.0920,0.07725,0.05810,0.0,-1,0.66211,0.62456,0.51388,0.13989,0.43693,0.0,0.000100,0,0
19,0.0925,0.07568,0.04939,0.0,-1,0.68097,0.64936,0.52678,0.13530,0.50129,0.0,0.000100,0,0
20,0.0948,0.07140,0.06068,0.0,-1,0.67591,0.63746,0.50832,0.13609,0.53570,0.0,0.000100,0,0
21,0.0935,0.07513,0.04818,0.0,-1,0.65517,0.63168,0.51092,0.13439,0.50670,0.0,0.000100,0,0
22,0.0911,0.07255,0.02931,0.0,-1,0.65858,0.64742,0.52693,0.13981,0.49293,0.0,0.000100,0,0
23,0.0913,0.06965,0.03168,0.0,-1,0.64111,0.60980,0.50175,0.13635,0.57196,0.0,0.000100,0,0
24,0.0935,0.06670,0.03101,0.0,-1,0.63918,0.62902,0.48859,0.13679,0.56529,0.0,0.000100,0,0
25,0.0924,0.06480,0.02595,0.0,-1,0.60777,0.63590,0.50630,0.14036,0.57839,0.0,0.000010,0,0
26,0.0965,0.05509,0.01610,0.0,-1,0.65194,0.64978,0.52467,0.13219,0.51507,0.0,0.000010,0,0
27,0.0972,0.04466,0.00590,0.0,-1,0.65546,0.64916,0.52915,0.13222,0.53023,0.0,0.000010,0,0
28,0.0935,0.03857,0.00362,0.0,-1,0.64713,0.64689,0.52513,0.13158,0.54757,0.0,0.000010,0,0
