epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,743.387,1.06449,3.87995,1.09567,0.00332,0.63803,0.04951,0.04261,0.77865,3.77343,0.93186,0.00140557,0.000468525,0.00140557,0.000468525,0.00140557,0.000468525,0.00140557,0.000468525
2,1201.08,1.04166,3.30031,1.07647,0.61463,0.16963,0.19881,0.16202,0.90586,2.97008,0.97835,0.00280651,0.000935504,0.00280651,0.000935504,0.00280651,0.000935504,0.00280651,0.000935504
3,1599.93,1.04576,2.69174,1.02986,0.22839,0.43926,0.22355,0.17579,0.86613,2.42592,0.94441,0.00417916,0.00139305,0.00417916,0.00139305,0.00417916,0.00139305,0.00417916,0.00139305
4,1983.53,0.91408,2.2743,0.97321,0.25381,0.49869,0.23877,0.1864,0.86721,2.21134,0.93207,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,2369.04,0.98293,2.16988,0.9927,0.28938,0.49615,0.25242,0.193,0.85302,2.0938,0.9341,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,2738.99,0.92267,2.12351,0.98161,0.24094,0.42308,0.2529,0.19806,0.88616,2.01707,0.94051,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,3121.99,0.88412,2.0036,0.97319,0.23931,0.45299,0.24911,0.19234,0.8575,1.97302,0.93088,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,3500.31,0.82998,1.85413,0.93886,0.23447,0.43234,0.24843,0.18533,0.84834,1.9462,0.93457,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,3887.8,0.89157,1.89985,0.94626,0.25926,0.42961,0.23998,0.17708,0.85283,1.93542,0.93128,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,4274.24,0.85719,1.81962,0.95687,0.24978,0.44675,0.2538,0.18723,0.84139,1.89078,0.92669,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,4646.78,0.86285,1.77581,0.95517,0.24826,0.40313,0.245,0.18656,0.84318,1.86105,0.93175,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,5033.54,0.82931,1.71448,0.93101,0.24098,0.4584,0.2644,0.20501,0.82215,1.84329,0.9249,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,5420.49,0.85964,1.76686,0.94226,0.60441,0.37108,0.25503,0.19788,0.83651,1.84818,0.92654,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,5794.54,0.82425,1.67568,0.93551,0.23802,0.45084,0.2716,0.20842,0.81778,1.79802,0.91681,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,6181.54,0.8372,1.60527,0.94525,0.27282,0.48788,0.28718,0.22112,0.80292,1.78284,0.91691,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,6553.88,0.81337,1.66071,0.94461,0.26047,0.50969,0.28402,0.20969,0.82918,1.78672,0.92632,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,6950.12,0.79266,1.5295,0.92979,0.27702,0.52393,0.27691,0.21415,0.81134,1.76556,0.9333,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,7354.87,0.80636,1.51815,0.92671,0.25207,0.45228,0.26727,0.19908,0.81432,1.80066,0.92748,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,7740.18,0.80882,1.46698,0.92837,0.27562,0.4302,0.27299,0.20368,0.82114,1.79645,0.92705,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,8127.25,0.78666,1.45102,0.93124,0.2625,0.40883,0.26578,0.1928,0.80477,1.82567,0.92346,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,8524.65,0.75744,1.41537,0.91713,0.2652,0.41521,0.25527,0.18892,0.79147,1.8941,0.92514,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,8908.26,0.80172,1.3924,0.929,0.28301,0.41168,0.26038,0.18958,0.81537,1.89317,0.92668,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,9302.6,0.77417,1.37486,0.92487,0.25117,0.4359,0.27089,0.20322,0.80172,1.98614,0.9125,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
