epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.6439,0.7991,3.64672,1.11475,0.6591,0.22118,0.23699,0.20143,0.62687,1.85933,1.02318,0.0010839,0.000361301,0.0010839,0.000361301,0.0010839,0.000361301,0.0010839,0.000361301
2,66.8565,0.6953,1.93711,1.0613,0.74614,0.46983,0.51824,0.44566,0.60392,1.25653,0.99539,0.00217317,0.000724391,0.00217317,0.000724391,0.00217317,0.000724391,0.00217317,0.000724391
3,90.0776,0.65532,1.44738,0.99677,0.57484,0.6011,0.62537,0.5274,0.6394,0.97902,1.03364,0.00324045,0.00108015,0.00324045,0.00108015,0.00324045,0.00108015,0.00324045,0.00108015
4,111.255,0.63843,1.1249,1.00365,0.5725,0.61453,0.63959,0.53679,0.61246,0.83407,1.02773,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078
5,132.829,0.64205,1.00926,0.99339,0.56724,0.60101,0.61557,0.52232,0.61803,0.82713,1.06395,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
6,155.568,0.67452,0.9138,1.01621,0.83538,0.57376,0.63731,0.53412,0.63697,0.80892,1.04779,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,176.026,0.64044,0.80972,0.98221,0.60232,0.62452,0.64597,0.52184,0.63122,0.76659,1.02257,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,194.984,0.63046,0.75187,0.97345,0.66615,0.68733,0.67254,0.5495,0.65042,0.73365,1.01193,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,213.443,0.64038,0.71347,0.97977,0.64006,0.75619,0.68047,0.55069,0.63344,0.70645,0.99829,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,233.76,0.65485,0.70439,0.96142,0.59213,0.72545,0.71348,0.58786,0.63782,0.68608,1.01764,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,254.152,0.65577,0.64988,0.98012,0.74706,0.66674,0.70308,0.58171,0.63808,0.71497,1.00942,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,274.975,0.61488,0.59939,0.95234,0.86606,0.57116,0.73976,0.62696,0.61948,0.63073,1.02031,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,297.964,0.60305,0.58749,0.96619,0.63824,0.73897,0.7127,0.60458,0.63019,0.70659,1.03135,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,318.145,0.58784,0.53486,0.93918,0.7809,0.67578,0.72259,0.62028,0.6152,0.60581,1.03643,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,339.118,0.61085,0.5625,0.96467,0.7052,0.70593,0.68898,0.5815,0.60895,0.6194,1.01066,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,361.393,0.59595,0.55059,0.94344,0.63799,0.64578,0.66667,0.54955,0.62733,0.70423,1.02299,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,382.843,0.56277,0.50059,0.93202,0.70278,0.69466,0.69751,0.58959,0.64184,0.69772,1.0271,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,403.889,0.60136,0.49124,0.93916,0.72793,0.7097,0.75617,0.63644,0.63758,0.66883,1.03781,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,424.508,0.61293,0.5278,0.94664,0.58849,0.7784,0.68184,0.56225,0.64593,0.66432,1.02702,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,444.194,0.59305,0.51779,0.94548,0.71184,0.67091,0.67468,0.56267,0.64081,0.68077,1.02948,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
