epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,591.801,0.95272,4.00271,1.09762,0.00231,0.4492,0.10764,0.08705,0.7094,3.85458,0.92787,0.00140557,0.000468525,0.00140557,0.000468525,0.00140557,0.000468525,0.00140557,0.000468525
2,965.325,0.96781,3.6095,1.05222,0.33475,0.24302,0.24596,0.1963,0.83582,3.41159,0.95045,0.00274103,0.000913678,0.00274103,0.000913678,0.00274103,0.000913678,0.00274103,0.000913678
3,1293.78,0.9855,2.99688,1.02933,0.41171,0.55639,0.40787,0.31118,0.82578,2.73466,0.94041,0.00398218,0.00132739,0.00398218,0.00132739,0.00398218,0.00132739,0.00398218,0.00132739
4,1625.17,0.9282,2.56894,0.99497,0.47195,0.54876,0.48846,0.3729,0.82597,2.34187,0.95017,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
5,1933.72,0.87042,2.30173,0.98787,0.62322,0.54445,0.56082,0.44588,0.77444,2.09044,0.93589,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037
6,2239.04,0.86251,2.14354,0.97456,0.60402,0.57256,0.58093,0.46671,0.76904,1.99582,0.91946,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322
7,2553.58,0.83116,1.9567,0.97209,0.61675,0.60756,0.61008,0.49189,0.76157,1.86151,0.93269,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
8,2859.65,0.85037,1.80811,0.97887,0.68917,0.62745,0.6213,0.501,0.74794,1.83672,0.93015,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
9,3169.57,0.79808,1.77945,0.95437,0.73147,0.61618,0.64939,0.52543,0.74785,1.80506,0.92493,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
10,3455.69,0.81162,1.66642,0.95482,0.81011,0.63761,0.69344,0.54567,0.74562,1.66751,0.9184,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
11,3730.85,0.80521,1.66677,0.93969,0.80033,0.64915,0.68381,0.53647,0.73101,1.65077,0.90443,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
12,4017.41,0.7772,1.5107,0.94575,0.7636,0.65507,0.6955,0.54405,0.74607,1.63735,0.91076,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
13,4300.5,0.80499,1.52703,0.95984,0.77684,0.65936,0.69646,0.54258,0.74087,1.63333,0.90889,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
14,4575.98,0.80034,1.48193,0.95666,0.79017,0.6625,0.68747,0.54545,0.74133,1.59948,0.9079,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959
15,4860.86,0.79353,1.43503,0.93894,0.72924,0.68813,0.69582,0.5573,0.74082,1.54948,0.91394,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802
