epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.186,0.88233,4.03574,1.17377,0.28345,0.41937,0.32877,0.29056,0.62685,2.09495,1.06504,0.000995885,0.000331962,0.000995885,0.000331962,0.000995885,0.000331962,0.000995885,0.000331962
2,186.916,0.78416,2.6839,1.10303,0.45457,0.50089,0.48552,0.41605,0.65061,1.5741,1.0427,0.00197613,0.000658709,0.00197613,0.000658709,0.00197613,0.000658709,0.00197613,0.000658709
3,260.358,0.72708,1.90731,1.05373,0.71208,0.51678,0.6283,0.53352,0.63386,1.10163,1.00105,0.00293657,0.000978855,0.00293657,0.000978855,0.00293657,0.000978855,0.00293657,0.000978855
4,332.955,0.67389,1.46691,0.98956,0.68881,0.58714,0.67875,0.57014,0.6311,0.98586,1.01375,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,404.147,0.69223,1.42938,1.01295,0.79442,0.58078,0.68625,0.58156,0.63528,0.9593,1.0116,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,475.564,0.66783,1.1723,1.00231,0.77183,0.62104,0.73464,0.6018,0.6631,0.82001,1.01053,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,549.629,0.67607,1.17918,0.97743,0.73352,0.67148,0.72494,0.60339,0.63891,0.87377,1.02443,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,621.892,0.67372,1.03458,1.00883,0.7041,0.75596,0.75449,0.62926,0.62955,0.7249,1.03797,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,693.725,0.69598,0.98729,1.01875,0.73842,0.70661,0.76423,0.62338,0.67075,0.73302,1.03178,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,764.659,0.68347,0.96925,0.99991,0.73135,0.68509,0.72309,0.59735,0.66032,0.79782,1.05918,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,837.128,0.65465,0.90237,0.99547,0.75598,0.6666,0.73864,0.61739,0.63313,0.78325,1.0515,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,910.448,0.6716,0.83172,1.0084,0.90018,0.62058,0.77804,0.64891,0.62152,0.74101,1.05714,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,983.76,0.67627,0.88574,0.99166,0.82962,0.68561,0.76,0.61857,0.63261,0.79863,1.06387,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,1057.99,0.67276,0.79765,1.00858,0.79081,0.68606,0.75885,0.6286,0.63371,0.74823,1.05182,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,1131.7,0.66448,0.79675,0.9946,0.79762,0.67333,0.77681,0.63658,0.65894,0.73645,1.05884,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,1203.98,0.7012,0.75816,0.99228,0.80685,0.72191,0.78707,0.64281,0.66507,0.6949,1.0777,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,1278.23,0.65461,0.68871,0.98585,0.86222,0.68757,0.77961,0.63972,0.67376,0.72899,1.05678,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,1352.07,0.68214,0.69083,0.99293,0.81078,0.68517,0.76316,0.63024,0.64816,0.76448,1.03418,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,1424.23,0.62225,0.65189,0.97355,0.85221,0.6891,0.78179,0.64471,0.65249,0.74219,1.03357,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,1496.46,0.65407,0.66282,1.00373,0.86011,0.70214,0.79516,0.64252,0.66772,0.70674,1.06028,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,1567.61,0.65034,0.63426,0.98874,0.80861,0.72665,0.7549,0.61806,0.66814,0.75809,1.04838,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,1636.11,0.6306,0.63261,0.96892,0.85093,0.71789,0.77138,0.63745,0.64955,0.6994,1.04944,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,1704.93,0.6357,0.5748,0.95292,0.86335,0.68925,0.76261,0.62348,0.65005,0.71518,1.05108,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,1775.18,0.64251,0.5954,0.95292,0.77883,0.74687,0.78238,0.63845,0.66752,0.71252,1.04388,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,1846.08,0.62627,0.60017,0.97342,0.85108,0.66431,0.77024,0.63023,0.67434,0.79252,1.05831,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,1918.91,0.61723,0.57437,0.97516,0.78977,0.6944,0.78355,0.64154,0.66904,0.7684,1.06505,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,1990.27,0.59464,0.57299,0.93438,0.8722,0.65776,0.78725,0.64627,0.66314,0.76395,1.0612,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,2059.46,0.59847,0.53442,0.94448,0.78194,0.74723,0.78247,0.64428,0.65574,0.79896,1.05382,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,2129.44,0.57894,0.54429,0.9313,0.77291,0.74425,0.75532,0.61392,0.65428,0.80163,1.04558,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,2196.82,0.57656,0.52976,0.9431,0.76095,0.72407,0.76318,0.63269,0.63318,0.80195,1.03185,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
