epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.321,1.40681,3.33837,1.31692,0.16761,0.09848,0.0005,0.00019,2.19267,168.734,3.73188,0.073,0.003,0.003
2,938.746,1.57713,2.9442,1.51939,0,0,0,0,3.93122,177351,105.306,0.0450396,0.00603961,0.00603961
3,1368.35,1.62195,2.80523,1.53963,0,0,0,0,3.87687,47474.8,18.485,0.0170178,0.00901784,0.00901784
4,1823.13,1.57446,2.65932,1.51081,0,0,0,0,4.79817,26068.4,31.6181,0.009703,0.009703,0.009703
5,2262.78,1.56591,2.56252,1.50863,0.5012,0.00407,0.00061,0.00042,2.69504,18.7587,3.32058,0.009604,0.009604,0.009604
6,2641.34,1.46101,2.43958,1.41952,0.03884,0.05372,0.00912,0.00408,2.72226,12.0018,3.6813,0.009505,0.009505,0.009505
7,2956.01,1.40539,2.35521,1.38438,0.11399,0.0546,0.01893,0.00986,2.58751,5.27647,3.18503,0.009406,0.009406,0.009406
8,3240.32,1.30267,2.1721,1.32973,0.17713,0.18341,0.12663,0.08671,1.7827,5.20235,1.77614,0.009307,0.009307,0.009307
9,3476.29,1.34072,2.23554,1.35,0.23525,0.23646,0.20918,0.14309,1.30395,4.01078,1.4878,0.009208,0.009208,0.009208
10,3702.96,1.33693,2.17698,1.33852,0.25925,0.28753,0.20989,0.1471,1.30033,2.67803,1.45596,0.009109,0.009109,0.009109
11,3931.67,1.30047,2.09181,1.31153,0.16507,0.29615,0.12488,0.08628,1.33753,3.91578,1.48063,0.00901,0.00901,0.00901
12,4156.48,1.2998,2.00492,1.32672,0.33569,0.33668,0.2609,0.18245,1.3337,2.60976,1.47596,0.008911,0.008911,0.008911
13,4375.99,1.26558,1.97698,1.31922,0.32188,0.28775,0.2578,0.18657,1.21713,2.82588,1.43605,0.008812,0.008812,0.008812
14,4593.19,1.30989,1.99097,1.33357,0.38093,0.39931,0.29785,0.21136,1.24381,2.21406,1.4359,0.008713,0.008713,0.008713
15,4823.14,1.2729,1.96629,1.31832,0.32765,0.31606,0.29928,0.2143,1.17017,2.51311,1.38528,0.008614,0.008614,0.008614
16,5042.92,1.2042,1.84164,1.27132,0.41142,0.41732,0.35541,0.25668,1.29273,2.15576,1.48258,0.008515,0.008515,0.008515
17,5264.7,1.20286,1.81666,1.25427,0.33002,0.40495,0.37029,0.25868,1.17843,2.05341,1.37481,0.008416,0.008416,0.008416
18,5504.66,1.22353,1.78385,1.27544,0.31133,0.37404,0.3006,0.21111,1.24993,2.51178,1.38733,0.008317,0.008317,0.008317
19,5736.62,1.21198,1.83803,1.27117,0.48743,0.34825,0.3759,0.25222,1.19463,2.12176,1.3628,0.008218,0.008218,0.008218
20,5958.04,1.2347,1.77837,1.26101,0.38954,0.44583,0.3564,0.25824,1.22448,2.07771,1.39413,0.008119,0.008119,0.008119
21,6175.64,1.22693,1.77898,1.27839,0.42643,0.34631,0.35946,0.25032,1.25989,2.12511,1.3964,0.00802,0.00802,0.00802
22,6385.26,1.15929,1.78153,1.24815,0.47725,0.47275,0.41904,0.30351,1.12219,1.81558,1.2889,0.007921,0.007921,0.007921
23,6602.64,1.17046,1.70196,1.20532,0.42057,0.34199,0.33958,0.24924,1.15428,2.07411,1.3343,0.007822,0.007822,0.007822
24,6811.35,1.11985,1.62817,1.18723,0.5137,0.39389,0.42112,0.31784,1.13955,1.79951,1.29329,0.007723,0.007723,0.007723
25,7030,1.13098,1.6386,1.18561,0.45602,0.3762,0.41679,0.30079,1.16361,1.91163,1.31944,0.007624,0.007624,0.007624
26,7274.72,1.07141,1.58337,1.17316,0.563,0.39784,0.44071,0.31662,1.11602,1.91545,1.299,0.007525,0.007525,0.007525
27,7504.47,1.12506,1.62686,1.22295,0.54035,0.39719,0.44021,0.32649,1.04127,1.88415,1.23471,0.007426,0.007426,0.007426
28,7735.9,1.08304,1.59903,1.17541,0.43029,0.40504,0.42076,0.30784,1.13375,1.80172,1.33435,0.007327,0.007327,0.007327
29,7973.36,1.08364,1.53382,1.19232,0.63662,0.40198,0.46312,0.34,1.17339,1.82069,1.31382,0.007228,0.007228,0.007228
30,8235.96,1.03461,1.45698,1.14184,0.50593,0.4538,0.47283,0.34604,1.1114,1.7127,1.2842,0.007129,0.007129,0.007129
31,8560.02,1.03215,1.47328,1.16512,0.56231,0.52028,0.52825,0.38733,1.09389,1.51295,1.26485,0.00703,0.00703,0.00703
32,8818.8,1.02802,1.50029,1.16595,0.51644,0.43594,0.45468,0.33674,1.07082,1.8598,1.28027,0.006931,0.006931,0.006931
33,9146.99,1.09166,1.52749,1.20969,0.58402,0.44872,0.50634,0.37168,1.12448,1.71181,1.28219,0.006832,0.006832,0.006832
34,9431.54,1.06759,1.45821,1.1653,0.58811,0.45738,0.49313,0.36369,1.13697,1.65564,1.30874,0.006733,0.006733,0.006733
35,9714.9,1.04614,1.47211,1.16344,0.65791,0.39334,0.49074,0.36059,1.05501,1.59665,1.23939,0.006634,0.006634,0.006634
36,9974.41,1.03119,1.43499,1.15674,0.52914,0.47635,0.47979,0.35,1.0603,1.68633,1.22787,0.006535,0.006535,0.006535
37,10249.7,0.9941,1.42348,1.11087,0.57597,0.37714,0.43638,0.32724,1.03682,1.76992,1.24492,0.006436,0.006436,0.006436
38,10518.1,0.97104,1.35617,1.09933,0.56686,0.46078,0.50147,0.37107,1.05192,1.59807,1.2365,0.006337,0.006337,0.006337
39,10779.7,1.02534,1.41227,1.17364,0.64909,0.44577,0.53408,0.40946,0.99038,1.46755,1.19339,0.006238,0.006238,0.006238
40,11092,1.00254,1.38716,1.13054,0.68022,0.42157,0.53244,0.39572,0.9851,1.45348,1.20598,0.006139,0.006139,0.006139
41,11379.9,0.98771,1.34186,1.11861,0.61692,0.49669,0.53346,0.41597,0.97326,1.41307,1.18248,0.00604,0.00604,0.00604
42,11757.6,1.01211,1.39346,1.14339,0.70799,0.46757,0.55284,0.40734,1.01892,1.40547,1.22424,0.005941,0.005941,0.005941
43,12094.4,0.97123,1.31492,1.12457,0.69265,0.44689,0.53209,0.4071,0.98348,1.43903,1.19893,0.005842,0.005842,0.005842
44,12551.6,0.99709,1.32829,1.12799,0.57803,0.51815,0.54031,0.40784,1.0171,1.54204,1.22363,0.005743,0.005743,0.005743
45,13035.9,0.97259,1.32509,1.12023,0.6781,0.48819,0.5242,0.39003,1.00565,1.46245,1.22714,0.005644,0.005644,0.005644
