epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,726.512,1.04562,4.32666,1.10509,0.00135,0.22926,0.0311,0.02706,0.78152,4.17622,0.94207,0.000983607,0.000327869,0.000983607,0.000327869,0.000983607,0.000327869,0.000983607,0.000327869
2,1185.35,0.99562,4.09751,1.07586,0.00234,0.45155,0.07118,0.05969,0.82073,3.98548,0.94323,0.00196397,0.000654656,0.00196397,0.000654656,0.00196397,0.000654656,0.00196397,0.000654656
3,1590.83,1.02341,3.76892,1.05115,0.35868,0.1999,0.14683,0.11966,0.8917,3.52782,0.96868,0.00292453,0.000974844,0.00292453,0.000974844,0.00292453,0.000974844,0.00292453,0.000974844
4,1978.78,0.95569,3.31173,1.01991,0.34868,0.35562,0.20278,0.16306,0.91329,3.12187,0.95504,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,2377.33,1.03757,3.09117,1.03594,0.48145,0.34377,0.29096,0.23581,0.90386,2.83405,0.9377,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,2764.3,0.99044,2.88206,1.02638,0.3856,0.38473,0.36367,0.29054,0.9035,2.6335,0.94974,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,3162.5,0.9467,2.64111,1.01201,0.49707,0.34431,0.39448,0.31832,0.89928,2.526,0.95303,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,3551.13,0.89869,2.4214,0.97323,0.6335,0.39655,0.4454,0.35973,0.8799,2.31497,0.95403,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,3944.29,0.93488,2.30646,0.97519,0.58795,0.42598,0.48628,0.39721,0.85539,2.16017,0.94259,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,4327.74,0.90803,2.14178,0.98344,0.77464,0.39044,0.50327,0.40688,0.83556,1.98019,0.93627,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
